"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Cookie Consent Management [firefox]","0","0","","0"
"0","","1","Cookie Consent Management [webkit]","0","0","","0"
"0","","1","Cookie Consent Management [chromium]","0","0","","0"
